Match_ID,Date,Stage,Stage_Category,Team_1,Team_2,Score_1,Score_2,Fouls_T1,Fouls_T2,Total_Fouls,Yellow_Cards_T1,Yellow_Cards_T2,Total_Yellow_Cards,Red_Cards_T1,Red_Cards_T2,Total_Red_Cards,xG_T1,xG_T2,Shots_T1,Shots_T2
1,11/06/2026,GROUP STAGE,Group Stage,Mexico,South Africa,2,0,12.0,11.0,23.0,1.0,2.0,3.0,1.0,2.0,3.0,1.46,0.07,16.0,3.0
2,12/06/2026,GROUP STAGE,Group Stage,South Korea,Czech Republic,2,1,9.0,16.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,2.3,0.83,15.0,7.0
3,12/06/2026,GROUP STAGE,Group Stage,Canada,Bosnia & Herzegovina,1,1,10.0,20.0,30.0,2.0,3.0,5.0,0.0,0.0,0.0,1.25,0.98,13.0,8.0
4,13/06/2026,GROUP STAGE,Group Stage,USA,Paraguay,4,1,13.0,17.0,30.0,1.0,5.0,6.0,0.0,0.0,0.0,1.42,0.54,16.0,9.0
5,13/06/2026,GROUP STAGE,Group Stage,Qatar,Switzerland,1,1,12.0,11.0,23.0,2.0,1.0,3.0,0.0,0.0,0.0,0.6,3.2,6.0,26.0
6,13/06/2026,GROUP STAGE,Group Stage,Brazil,Morocco,1,1,16.0,14.0,30.0,2.0,0.0,2.0,0.0,0.0,0.0,1.26,1.37,12.0,14.0
7,14/06/2026,GROUP STAGE,Group Stage,Haiti,Scotland,0,1,23.0,21.0,44.0,1.0,3.0,4.0,0.0,0.0,0.0,1.05,1.05,15.0,9.0
8,14/06/2026,GROUP STAGE,Group Stage,Australia,Turkey,2,0,12.0,4.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,1.18,1.36,9.0,30.0
9,14/06/2026,GROUP STAGE,Group Stage,Germany,Curacao,7,1,18.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,0.41,26.0,8.0
10,14/06/2026,GROUP STAGE,Group Stage,Netherlands,Japan,2,2,7.0,7.0,14.0,3.0,0.0,3.0,0.0,0.0,0.0,0.78,0.59,10.0,10.0
11,15/06/2026,GROUP STAGE,Group Stage,Ivory Coast,Ecuador,1,0,10.0,13.0,23.0,3.0,1.0,4.0,0.0,0.0,0.0,1.52,1.01,15.0,12.0
12,15/06/2026,GROUP STAGE,Group Stage,Sweden,Tunisia,5,1,10.0,8.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,1.33,0.28,13.0,6.0
13,15/06/2026,GROUP STAGE,Group Stage,Spain,Cape Verde,0,0,10.0,1.0,11.0,1.0,1.0,2.0,0.0,0.0,0.0,2.1,0.2,27.0,6.0
14,15/06/2026,GROUP STAGE,Group Stage,Belgium,Egypt,1,1,15.0,15.0,30.0,2.0,2.0,4.0,0.0,0.0,0.0,1.35,1.08,15.0,14.0
15,15/06/2026,GROUP STAGE,Group Stage,Saudi Arabia,Uruguay,1,1,11.0,6.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.66,1.72,7.0,27.0
16,16/06/2026,GROUP STAGE,Group Stage,Iran,New Zealand,2,2,10.0,8.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,1.5,1.24,17.0,14.0
17,16/06/2026,GROUP STAGE,Group Stage,France,Senegal,3,1,5.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.53,11.0,6.0
18,16/06/2026,GROUP STAGE,Group Stage,Iraq,Norway,1,4,12.0,13.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8,2.52,11.0,12.0
19,17/06/2026,GROUP STAGE,Group Stage,Argentina,Algeria,3,0,13.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.32,10.0,7.0
20,17/06/2026,GROUP STAGE,Group Stage,Austria,Jordan,3,1,12.0,7.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,1.66,0.53,11.0,11.0
21,17/06/2026,GROUP STAGE,Group Stage,Portugal,D.R. Congo,1,1,9.0,10.0,19.0,3.0,1.0,4.0,0.0,0.0,0.0,0.65,0.87,7.0,8.0
22,17/06/2026,GROUP STAGE,Group Stage,England,Croatia,4,2,10.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.7,22.0,10.0
