Team,Tournament_Status,Matches_Total,Total_Fouls_Overall,Fouls_Per_Match_Overall,Fouls_Std_Overall,Matches_GS,Total_Fouls_GS,Fouls_Per_Match_GS,Fouls_Std_GS
Algeria,Knockout Stage,4,29.0,7.25,3.774917217635375,3,17.0,5.666666666666667,2.5166114784235836
Argentina,Knockout Stage,8,113.0,14.125,4.9982139667227985,3,33.0,11.0,3.4641016151377544
Australia,Knockout Stage,4,46.0,11.5,4.123105625617661,3,34.0,11.333333333333334,5.033222956847167
Austria,Knockout Stage,4,47.0,11.75,3.4034296427770228,3,32.0,10.666666666666666,3.214550253664318
Belgium,Knockout Stage,6,78.0,13.0,6.29285308902091,3,29.0,9.666666666666666,4.618802153517006
Bosnia & Herzegovina,Knockout Stage,4,60.0,15.0,4.966554808583779,3,47.0,15.666666666666666,5.859465277082315
Brazil,Knockout Stage,5,51.0,10.2,4.764451699828638,3,40.0,13.333333333333334,2.5166114784235836
Canada,Knockout Stage,5,72.0,14.4,6.024948132556827,3,32.0,10.666666666666666,2.081665999466133
Cape Verde,Knockout Stage,4,27.0,6.75,5.123475382979799,3,15.0,5.0,4.58257569495584
Colombia,Knockout Stage,5,70.0,14.0,4.06201920231798,3,35.0,11.666666666666666,0.5773502691896258
Croatia,Knockout Stage,4,45.0,11.25,1.5,3,33.0,11.0,1.7320508075688772
Curacao,Eliminated in Group Stage,3,32.0,10.666666666666666,0.5773502691896258,3,32.0,10.666666666666666,0.5773502691896258
Czech Republic,Eliminated in Group Stage,3,37.0,12.333333333333334,3.5118845842842465,3,37.0,12.333333333333334,3.5118845842842465
D.R. Congo,Knockout Stage,4,44.0,11.0,4.163331998932265,3,32.0,10.666666666666666,5.033222956847166
Ecuador,Knockout Stage,4,49.0,12.25,3.5939764421413045,3,35.0,11.666666666666666,4.163331998932266
Egypt,Knockout Stage,5,59.0,11.8,2.7748873851023217,3,34.0,11.333333333333334,3.5118845842842465
England,Knockout Stage,7,73.0,10.428571428571429,2.507132682112035,3,37.0,12.333333333333334,2.0816659994661326
France,Knockout Stage,7,70.0,10.0,2.82842712474619,3,24.0,8.0,3.0
Germany,Knockout Stage,4,51.0,12.75,6.3966136874651625,3,33.0,11.0,6.557438524302
Ghana,Knockout Stage,4,56.0,14.0,6.879922480183431,3,46.0,15.333333333333334,7.767453465154029
Haiti,Eliminated in Group Stage,3,55.0,18.333333333333332,4.509249752822894,3,55.0,18.333333333333332,4.509249752822894
Iran,Eliminated in Group Stage,3,35.0,11.666666666666666,3.785938897200183,3,35.0,11.666666666666666,3.785938897200183
Iraq,Eliminated in Group Stage,3,27.0,9.0,4.358898943540674,3,27.0,9.0,4.358898943540674
Ivory Coast,Knockout Stage,4,29.0,7.25,1.8929694486000914,3,23.0,7.666666666666667,2.081665999466133
Japan,Knockout Stage,4,55.0,13.75,5.377421934967226,3,42.0,14.0,6.557438524302
Jordan,Eliminated in Group Stage,3,31.0,10.333333333333334,3.055050463303893,3,31.0,10.333333333333334,3.055050463303893
Mexico,Knockout Stage,5,58.0,11.6,2.073644135332772,3,34.0,11.333333333333334,2.0816659994661326
Morocco,Knockout Stage,6,74.0,12.333333333333334,2.7325202042558927,3,32.0,10.666666666666666,3.055050463303893
Netherlands,Knockout Stage,4,44.0,11.0,4.83045891539648,3,26.0,8.666666666666666,1.5275252316519468
New Zealand,Eliminated in Group Stage,3,32.0,10.666666666666666,3.055050463303893,3,32.0,10.666666666666666,3.055050463303893
Norway,Knockout Stage,6,58.0,9.666666666666666,2.943920288775949,3,35.0,11.666666666666666,2.309401076758503
Panama,Eliminated in Group Stage,3,46.0,15.333333333333334,4.041451884327381,3,46.0,15.333333333333334,4.041451884327381
Paraguay,Knockout Stage,5,66.0,13.2,3.03315017762062,3,41.0,13.666666666666666,4.163331998932265
Portugal,Knockout Stage,5,44.0,8.8,3.271085446759225,3,29.0,9.666666666666666,4.041451884327381
Qatar,Eliminated in Group Stage,3,36.0,12.0,2.0,3,36.0,12.0,2.0
Saudi Arabia,Eliminated in Group Stage,3,29.0,9.666666666666666,7.094598884597588,3,29.0,9.666666666666666,7.094598884597588
Scotland,Eliminated in Group Stage,3,42.0,14.0,6.082762530298219,3,42.0,14.0,6.082762530298219
Senegal,Knockout Stage,4,36.0,9.0,2.943920288775949,3,24.0,8.0,2.6457513110645907
South Africa,Knockout Stage,4,38.0,9.5,1.7320508075688772,3,28.0,9.333333333333334,2.081665999466133
South Korea,Eliminated in Group Stage,3,25.0,8.333333333333334,1.1547005383792515,3,25.0,8.333333333333334,1.1547005383792515
Spain,Knockout Stage,8,101.0,12.625,3.9256482631170977,3,34.0,11.333333333333334,2.309401076758503
Sweden,Knockout Stage,4,43.0,10.75,0.9574271077563381,3,33.0,11.0,1.0
Switzerland,Knockout Stage,6,87.0,14.5,5.958187643906492,3,37.0,12.333333333333334,6.110100926607786
Tunisia,Eliminated in Group Stage,3,27.0,9.0,1.7320508075688772,3,27.0,9.0,1.7320508075688772
Turkey,Eliminated in Group Stage,3,31.0,10.333333333333334,5.507570547286102,3,31.0,10.333333333333334,5.507570547286102
USA,Knockout Stage,5,56.0,11.2,2.4899799195977463,3,38.0,12.666666666666666,0.5773502691896258
Uruguay,Eliminated in Group Stage,3,31.0,10.333333333333334,4.041451884327381,3,31.0,10.333333333333334,4.041451884327381
Uzbekistan,Eliminated in Group Stage,3,45.0,15.0,1.0,3,45.0,15.0,1.0
