Date,Team 1,Score 1,Score 2,Team 2,Goals_1H_T1,Goals_1H_T2,Goals_2H_T1,Goals_2H_T2,Yellow_Cards_T1,Yellow_Cards_T2,Red_Cards_T1,Red_Cards_T2,Corners_1H_T1,Corners_1H_T2,Corners_2H_T1,Corners_2H_T2,Corners_Match_T1,Corners_Match_T2,Corners_Total,xG_T1,xG_T2,Shots_T1,Shots_T2,Shots_On_Target_T1,Shots_On_Target_T2,Fouls_T1,Fouls_T2,Stage
11/06/2026,Mexico,2,0,South Africa,1,0.0,1,0.0,1,2.0,1,2.0,2,1.0,1,0.0,3,1.0,4,1.46,0.07,16,3.0,4,2.0,12,11.0,GROUP STAGE
12/06/2026,South Korea,2,1,Czech Republic,0,0.0,2,1.0,1,0.0,0,0.0,3,3.0,1,2.0,4,5.0,9,2.30,0.83,15,7.0,6,4.0,9,16.0,GROUP STAGE
12/06/2026,Canada,1,1,Bosnia & Herzegovina,0,1.0,1,0.0,2,3.0,0,0.0,9,1.0,0,3.0,9,4.0,13,1.25,0.98,13,8.0,4,3.0,10,20.0,GROUP STAGE
13/06/2026,USA,4,1,Paraguay,3,0.0,1,1.0,1,5.0,0,0.0,2,0.0,1,1.0,3,1.0,4,1.42,0.54,16,9.0,6,1.0,13,17.0,GROUP STAGE
13/06/2026,Qatar,1,1,Switzerland,0,1.0,1,0.0,2,1.0,0,0.0,3,4.0,0,6.0,3,10.0,13,0.60,3.2,6,26.0,3,7.0,12,11.0,GROUP STAGE
13/06/2026,Brazil,1,1,Morocco,1,1.0,0,0.0,2,0.0,0,0.0,2,0.0,4,2.0,6,2.0,8,1.26,1.37,12,14.0,5,3.0,16,14.0,GROUP STAGE
14/06/2026,Haiti,0,1,Scotland,0,1.0,0,0.0,1,3.0,0,0.0,0,0.0,4,3.0,4,3.0,7,1.05,1.05,15,9.0,2,2.0,23,21.0,GROUP STAGE
14/06/2026,Australia,2,0,Turkey,1,0.0,1,0.0,0,1.0,0,0.0,2,2.0,3,6.0,5,8.0,13,1.18,1.36,9,30.0,4,8.0,12,4.0,GROUP STAGE
14/06/2026,Germany,7,1,Curacao,3,1.0,4,0.0,0,0.0,0,0.0,6,0.0,2,1.0,8,1.0,9,4.22,0.41,26,8.0,12,2.0,18,11.0,GROUP STAGE
14/06/2026,Netherlands,2,2,Japan,0,0.0,2,2.0,3,0.0,0,0.0,3,1.0,2,3.0,5,4.0,9,0.78,0.59,10,10.0,6,3.0,7,7.0,GROUP STAGE
15/06/2026,Ivory Coast,1,0,Ecuador,0,0.0,1,0.0,3,1.0,0,0.0,2,0.0,1,5.0,3,5.0,8,1.52,1.01,15,12.0,4,1.0,10,13.0,GROUP STAGE
15/06/2026,Sweden,5,1,Tunisia,2,1.0,3,0.0,0,1.0,0,0.0,2,0.0,2,2.0,4,2.0,6,1.33,0.28,13,6.0,7,2.0,10,8.0,GROUP STAGE
15/06/2026,Spain,0,0,Cape Verde,0,0.0,0,0.0,1,1.0,0,0.0,4,0.0,7,1.0,11,1.0,12,2.10,0.2,27,6.0,7,1.0,10,1.0,GROUP STAGE
15/06/2026,Belgium,1,1,Egypt,0,1.0,1,0.0,2,2.0,0,0.0,0,4.0,2,3.0,2,7.0,9,1.35,1.08,15,14.0,3,3.0,15,15.0,GROUP STAGE
15/06/2026,Saudi Arabia,1,1,Uruguay,1,0.0,0,1.0,1,0.0,0,0.0,4,2.0,0,12.0,4,14.0,18,0.66,1.72,7,27.0,3,10.0,11,6.0,GROUP STAGE
16/06/2026,Iran,2,2,New Zealand,1,1.0,1,1.0,1,0.0,0,0.0,0,1.0,4,0.0,4,1.0,5,1.50,1.24,17,14.0,4,8.0,10,8.0,GROUP STAGE
16/06/2026,France,3,1,Senegal,0,0.0,3,1.0,0,0.0,0,0.0,3,2.0,3,2.0,6,4.0,10,1.79,0.53,11,6.0,8,2.0,5,9.0,GROUP STAGE
16/06/2026,Iraq,1,4,Norway,1,2.0,0,2.0,1,0.0,0,0.0,2,2.0,0,3.0,2,5.0,7,0.80,2.52,11,12.0,1,5.0,12,13.0,GROUP STAGE
17/06/2026,Argentina,3,0,Algeria,1,0.0,2,0.0,0,0.0,0,0.0,0,2.0,2,0.0,2,2.0,4,1.26,0.32,10,7.0,6,0.0,13,8.0,GROUP STAGE
17/06/2026,Austria,3,1,Jordan,1,0.0,2,1.0,1,0.0,0,0.0,1,3.0,3,0.0,4,3.0,7,1.66,0.53,11,11.0,4,4.0,12,7.0,GROUP STAGE
17/06/2026,Portugal,1,1,D.R. Congo,1,1.0,0,0.0,3,1.0,0,0.0,1,3.0,4,1.0,5,4.0,9,0.65,0.87,7,8.0,1,2.0,9,10.0,GROUP STAGE
17/06/2026,England,4,2,Croatia,2,2.0,2,0.0,0,0.0,0,0.0,3,1.0,5,1.0,8,2.0,10,3.20,0.7,22,10.0,11,5.0,10,12.0,GROUP STAGE
18/06/2026,Ghana,1,0,Panama,0,0.0,1,0.0,1,2.0,0,0.0,0,0.0,2,2.0,2,2.0,4,1.31,0.73,8,11.0,2,4.0,9,11.0,GROUP STAGE
18/06/2026,Uzbekistan,1,3,Colombia,0,1.0,1,2.0,1,1.0,0,0.0,1,2.0,2,2.0,3,4.0,7,1.16,1.61,8,15.0,2,4.0,14,11.0,GROUP STAGE
18/06/2026,Czech Republic,1,1,South Africa,1,0.0,0,1.0,1,2.0,0,0.0,2,3.0,3,2.0,5,5.0,10,1.02,1.38,14,17.0,3,4.0,12,10.0,GROUP STAGE
18/06/2026,Switzerland,4,1,Bosnia & Herzegovina,0,0.0,4,1.0,1,2.0,0,1.0,4,2.0,3,1.0,7,3.0,10,2.06,0.23,13,5.0,7,3.0,7,18.0,GROUP STAGE
18/06/2026,Canada,6,0,Qatar,3,0.0,3,0.0,1,1.0,0,2.0,5,1.0,14,0.0,19,1.0,20,4.60,0.22,32,2.0,10,0.0,9,10.0,GROUP STAGE
19/06/2026,Mexico,1,0,South Korea,0,0.0,1,0.0,0,2.0,0,0.0,0,0.0,0,2.0,0,2.0,2,0.53,0.91,8,9.0,4,2.0,9,7.0,GROUP STAGE
19/06/2026,USA,2,0,Australia,2,0.0,0,0.0,3,4.0,0,0.0,3,2.0,4,2.0,7,4.0,11,1.08,0.35,10,5.0,2,2.0,12,16.0,GROUP STAGE
19/06/2026,Scotland,0,1,Morocco,0,1.0,0,0.0,1,1.0,0,0.0,0,3.0,2,2.0,2,5.0,7,0.51,0.99,6,12.0,0,2.0,11,8.0,GROUP STAGE
20/06/2026,Brazil,3,0,Haiti,3,0.0,0,0.0,1,3.0,0,0.0,4,1.0,0,3.0,4,4.0,8,1.75,0.23,8,7.0,5,3.0,13,14.0,GROUP STAGE
20/06/2026,Turkey,0,1,Paraguay,0,1.0,0,0.0,1,1.0,0,1.0,5,0.0,7,0.0,12,0.0,12,2.17,0.32,32,7.0,5,2.0,14,15.0,GROUP STAGE
20/06/2026,Netherlands,5,1,Sweden,2,0.0,3,1.0,0,3.0,0,0.0,1,2.0,1,3.0,2,5.0,7,2.61,1.01,10,16.0,7,8.0,9,12.0,GROUP STAGE
20/06/2026,Germany,2,1,Ivory Coast,0,1.0,2,0.0,0,0.0,0,0.0,3,1.0,5,2.0,8,3.0,11,1.89,1.22,16,9.0,7,2.0,5,7.0,GROUP STAGE
21/06/2026,Ecuador,0,0,Curacao,0,0.0,0,0.0,1,5.0,0,0.0,1,0.0,8,0.0,9,0.0,9,2.84,0.5,27,10.0,15,3.0,7,10.0,GROUP STAGE
21/06/2026,Tunisia,0,4,Japan,0,2.0,0,2.0,0,0.0,0,0.0,1,2.0,2,3.0,3,5.0,8,0.05,2.13,2,11.0,0,5.0,8,15.0,GROUP STAGE
21/06/2026,Spain,4,0,Saudi Arabia,3,0.0,1,0.0,0,2.0,0,0.0,4,1.0,2,0.0,6,1.0,7,2.30,0.14,22,3.0,8,1.0,10,2.0,GROUP STAGE
21/06/2026,Belgium,0,0,Iran,0,0.0,0,0.0,1,1.0,1,0.0,2,1.0,2,1.0,4,2.0,6,1.79,0.62,23,7.0,7,3.0,7,9.0,GROUP STAGE
21/06/2026,Uruguay,2,2,Cape Verde,2,1.0,0,1.0,2,2.0,0,0.0,4,1.0,7,3.0,11,4.0,15,2.32,0.88,17,12.0,2,4.0,11,4.0,GROUP STAGE
22/06/2026,New Zealand,1,3,Egypt,1,0.0,0,3.0,2,1.0,0,0.0,1,1.0,3,2.0,4,3.0,7,1.24,1.87,11,19.0,5,7.0,14,8.0,GROUP STAGE
22/06/2026,Argentina,2,0,Austria,1,0.0,1,0.0,2,2.0,0,0.0,0,2.0,1,1.0,1,3.0,4,2.36,0.53,12,6.0,5,1.0,13,13.0,GROUP STAGE
22/06/2026,France,3,0,Iraq,1,0.0,2,0.0,0,1.0,0,0.0,1,1.0,3,1.0,4,2.0,6,2.67,0.63,19,4.0,5,0.0,8,4.0,GROUP STAGE
23/06/2026,Norway,3,2,Senegal,1,0.0,2,2.0,0,0.0,0,0.0,4,1.0,1,3.0,5,4.0,9,2.20,1.72,13,16.0,7,4.0,13,5.0,GROUP STAGE
23/06/2026,Jordan,1,2,Algeria,1,0.0,0,2.0,1,1.0,0,0.0,0,3.0,1,7.0,1,10.0,11,0.63,1.89,8,17.0,4,8.0,11,6.0,GROUP STAGE
23/06/2026,Portugal,5,0,Uzbekistan,3,0.0,2,0.0,1,1.0,0,0.0,1,0.0,2,2.0,3,2.0,5,2.61,0.24,17,7.0,9,2.0,14,15.0,GROUP STAGE
23/06/2026,England,0,0,Ghana,0,0.0,0,0.0,1,1.0,0,0.0,3,1.0,6,1.0,9,2.0,11,1.36,0.17,19,2.0,3,1.0,14,24.0,GROUP STAGE
24/06/2026,Panama,0,1,Croatia,0,0.0,0,1.0,1,1.0,0,0.0,0,1.0,7,1.0,7,2.0,9,0.55,1.65,8,6.0,1,2.0,19,12.0,GROUP STAGE
