team_id,total_shots_on_target,total_goals,shots_on_target_per_goal
39,8,6,1.3333333333333333
13,18,11,1.6363636363636365
43,4,2,2.0
42,10,5,2.0
40,6,3,2.0
35,2,1,2.0
36,27,13,2.076923076923077
21,23,11,2.090909090909091
1,21,10,2.1
41,17,8,2.125
22,17,8,2.125
34,23,10,2.3
47,5,2,2.5
37,49,19,2.5789473684210527
45,52,20,2.6
10,27,10,2.7
6,14,5,2.8
38,14,5,2.8
8,28,10,2.8
33,56,20,2.8
25,40,14,2.857142857142857
26,23,8,2.875
14,9,3,3.0
7,6,2,3.0
24,6,2,3.0
17,33,11,3.0
11,6,2,3.0
9,31,10,3.1
23,22,7,3.142857142857143
30,13,4,3.25
28,13,4,3.25
46,20,6,3.3333333333333335
27,10,3,3.3333333333333335
4,7,2,3.5
5,32,9,3.5555555555555554
19,19,5,3.8
29,56,14,4.0
18,4,1,4.0
15,14,3,4.666666666666667
12,5,1,5.0
3,10,2,5.0
44,26,5,5.2
2,11,2,5.5
16,19,3,6.333333333333333
32,20,3,6.666666666666667
31,7,1,7.0
20,22,2,11.0
