match_id,date,team,opponent,venue,goals_for,goals_against,pass_completion,result
1,11/06/2026,Mexico,South Africa,Home,2,0,87.4,Win
1,11/06/2026,South Africa,Mexico,Away,0,2,78.6,Loss
2,12/06/2026,South Korea,Czech Republic,Home,2,1,83.4,Win
2,12/06/2026,Czech Republic,South Korea,Away,1,2,77.6,Loss
4,13/06/2026,USA,Paraguay,Home,4,1,83.3,Win
4,13/06/2026,Paraguay,USA,Away,1,4,77.7,Loss
7,14/06/2026,Haiti,Scotland,Home,0,1,80.6,Loss
7,14/06/2026,Scotland,Haiti,Away,1,0,80.9,Win
8,14/06/2026,Australia,Turkey,Home,2,0,80.5,Win
8,14/06/2026,Turkey,Australia,Away,0,2,79.3,Loss
9,14/06/2026,Germany,Curacao,Home,7,1,83.8,Win
9,14/06/2026,Curacao,Germany,Away,1,7,78.5,Loss
11,15/06/2026,Ivory Coast,Ecuador,Home,1,0,86.0,Win
11,15/06/2026,Ecuador,Ivory Coast,Away,0,1,73.8,Loss
12,15/06/2026,Sweden,Tunisia,Home,5,1,86.6,Win
12,15/06/2026,Tunisia,Sweden,Away,1,5,80.6,Loss
17,16/06/2026,France,Senegal,Home,3,1,85.9,Win
17,16/06/2026,Senegal,France,Away,1,3,83.5,Loss
18,16/06/2026,Iraq,Norway,Home,1,4,75.4,Loss
18,16/06/2026,Norway,Iraq,Away,4,1,82.0,Win
19,17/06/2026,Argentina,Algeria,Home,3,0,84.1,Win
19,17/06/2026,Algeria,Argentina,Away,0,3,81.9,Loss
20,17/06/2026,Austria,Jordan,Home,3,1,87.1,Win
20,17/06/2026,Jordan,Austria,Away,1,3,84.2,Loss
22,17/06/2026,England,Croatia,Home,4,2,86.6,Win
22,17/06/2026,Croatia,England,Away,2,4,73.5,Loss
23,18/06/2026,Ghana,Panama,Home,1,0,89.3,Win
23,18/06/2026,Panama,Ghana,Away,0,1,78.6,Loss
24,18/06/2026,Uzbekistan,Colombia,Home,1,3,75.9,Loss
24,18/06/2026,Colombia,Uzbekistan,Away,3,1,84.7,Win
26,18/06/2026,Switzerland,Bosnia & Herzegovina,Home,4,1,86.3,Win
26,18/06/2026,Bosnia & Herzegovina,Switzerland,Away,1,4,81.4,Loss
27,18/06/2026,Canada,Qatar,Home,6,0,82.3,Win
27,18/06/2026,Qatar,Canada,Away,0,6,78.4,Loss
28,19/06/2026,Mexico,South Korea,Home,1,0,85.0,Win
28,19/06/2026,South Korea,Mexico,Away,0,1,80.1,Loss
29,19/06/2026,USA,Australia,Home,2,0,79.8,Win
29,19/06/2026,Australia,USA,Away,0,2,78.3,Loss
30,19/06/2026,Scotland,Morocco,Home,0,1,78.2,Loss
30,19/06/2026,Morocco,Scotland,Away,1,0,86.6,Win
31,20/06/2026,Brazil,Haiti,Home,3,0,87.2,Win
31,20/06/2026,Haiti,Brazil,Away,0,3,79.6,Loss
32,20/06/2026,Turkey,Paraguay,Home,0,1,74.3,Loss
32,20/06/2026,Paraguay,Turkey,Away,1,0,84.6,Win
33,20/06/2026,Netherlands,Sweden,Home,5,1,84.3,Win
33,20/06/2026,Sweden,Netherlands,Away,1,5,87.7,Loss
34,20/06/2026,Germany,Ivory Coast,Home,2,1,83.7,Win
34,20/06/2026,Ivory Coast,Germany,Away,1,2,80.2,Loss
36,21/06/2026,Tunisia,Japan,Home,0,4,83.6,Loss
36,21/06/2026,Japan,Tunisia,Away,4,0,81.1,Win
37,21/06/2026,Spain,Saudi Arabia,Home,4,0,80.9,Win
37,21/06/2026,Saudi Arabia,Spain,Away,0,4,77.2,Loss
40,22/06/2026,New Zealand,Egypt,Home,1,3,81.7,Loss
40,22/06/2026,Egypt,New Zealand,Away,3,1,82.1,Win
41,22/06/2026,Argentina,Austria,Home,2,0,79.1,Win
41,22/06/2026,Austria,Argentina,Away,0,2,78.8,Loss
42,22/06/2026,France,Iraq,Home,3,0,85.7,Win
