team,games_played,h1_corners_for,h1_corners_against,h2_corners_for,h2_corners_against,ft_corners_for,ft_corners_against,h1_match_corners,h2_match_corners,total_match_corners,avg_corners_for,avg_corners_against,avg_total_corners,corner_diff,reached_knockout
Algeria,4,6,4,8,6,14,10,10,14,24,3.5,2.5,6.0,1.0,Yes
Argentina,8,6,10,26,12,32,22,16,38,54,4.0,2.75,6.75,1.25,Yes
Australia,4,10,5,6,14,16,19,15,20,35,4.0,4.75,8.75,-0.75,Yes
Austria,4,5,9,5,4,10,13,14,9,23,2.5,3.25,5.75,-0.75,Yes
Belgium,6,11,11,13,12,24,23,22,25,47,4.0,3.8333,7.8333,0.1667,Yes
Bosnia and Herzegovina,4,9,17,6,8,15,25,26,14,40,3.75,6.25,10.0,-2.5,Yes
Brazil,5,12,9,15,11,27,20,21,26,47,5.4,4.0,9.4,1.4,Yes
Canada,5,23,5,27,4,50,9,28,31,59,10.0,1.8,11.8,8.2,Yes
Cape Verde,4,3,8,8,21,11,29,11,29,40,2.75,7.25,10.0,-4.5,Yes
Colombia,5,10,6,11,8,21,14,16,19,35,4.2,2.8,7.0,1.4,Yes
Croatia,4,2,9,10,17,12,26,11,27,38,3.0,6.5,9.5,-3.5,Yes
Curacao,3,3,9,2,14,5,23,12,16,28,1.6667,7.6667,9.3333,-6.0,No
Czech Republic,3,5,6,10,4,15,10,11,14,25,5.0,3.3333,8.3333,1.6667,No
D.R. Congo,4,7,8,6,11,13,19,15,17,32,3.25,4.75,8.0,-1.5,Yes
Ecuador,4,7,4,18,4,25,8,11,22,33,6.25,2.0,8.25,4.25,Yes
Egypt,5,10,5,12,13,22,18,15,25,40,4.4,3.6,8.0,0.8,Yes
England,8,21,11,18,25,39,36,32,43,75,4.875,4.5,9.375,0.375,Yes
France,8,28,9,23,14,51,23,37,37,74,6.375,2.875,9.25,3.5,Yes
Germany,4,16,4,12,7,28,11,20,19,39,7.0,2.75,9.75,4.25,Yes
Ghana,4,3,4,5,13,8,17,7,18,25,2.0,4.25,6.25,-2.25,Yes
Haiti,3,1,7,8,9,9,16,8,17,25,3.0,5.3333,8.3333,-2.3333,No
Iran,3,1,7,7,6,8,13,8,13,21,2.6667,4.3333,7.0,-1.6667,No
Iraq,3,6,9,1,12,7,21,15,13,28,2.3333,7.0,9.3333,-4.6667,No
Ivory Coast,4,14,8,12,12,26,20,22,24,46,6.5,5.0,11.5,1.5,Yes
Japan,4,6,9,7,13,13,22,15,20,35,3.25,5.5,8.75,-2.25,Yes
Jordan,3,4,6,2,14,6,20,10,16,26,2.0,6.6667,8.6667,-4.6667,No
Mexico,5,7,8,12,10,19,18,15,22,37,3.8,3.6,7.4,0.2,Yes
Morocco,6,9,14,20,16,29,30,23,36,59,4.8333,5.0,9.8333,-0.1667,Yes
Netherlands,4,11,6,7,14,18,20,17,21,38,4.5,5.0,9.5,-0.5,Yes
New Zealand,3,3,5,7,10,10,15,8,17,25,3.3333,5.0,8.3333,-1.6667,No
Norway,6,12,18,15,15,27,33,30,30,60,4.5,5.5,10.0,-1.0,Yes
Panama,3,1,6,11,5,12,11,7,16,23,4.0,3.6667,7.6667,0.3333,No
Paraguay,5,2,23,6,17,8,40,25,23,48,1.6,8.0,9.6,-6.4,Yes
Portugal,5,11,6,11,17,22,23,17,28,45,4.4,4.6,9.0,-0.2,Yes
Qatar,3,5,13,4,21,9,34,18,25,43,3.0,11.3333,14.3333,-8.3333,No
Saudi Arabia,3,5,8,2,16,7,24,13,18,31,2.3333,8.0,10.3333,-5.6667,No
Scotland,3,3,6,9,9,12,15,9,18,27,4.0,5.0,9.0,-1.0,No
Senegal,4,10,12,11,6,21,18,22,17,39,5.25,4.5,9.75,0.75,Yes
South Africa,4,9,9,2,9,11,18,18,11,29,2.75,4.5,7.25,-1.75,Yes
South Korea,3,5,7,7,2,12,9,12,9,21,4.0,3.0,7.0,1.0,No
Spain,8,27,7,27,8,54,15,34,35,69,6.75,1.875,8.625,4.875,Yes
Sweden,4,7,8,11,7,18,15,15,18,33,4.5,3.75,8.25,0.75,Yes
Switzerland,6,14,13,14,11,28,24,27,25,52,4.6667,4.0,8.6667,0.6667,Yes
Tunisia,3,2,7,7,8,9,15,9,15,24,3.0,5.0,8.0,-2.0,No
Turkey,3,9,7,13,7,22,14,16,20,36,7.3333,4.6667,12.0,2.6667,No
USA,5,14,9,12,6,26,15,23,18,41,5.2,3.0,8.2,2.2,Yes
Uruguay,3,6,10,20,4,26,14,16,24,40,8.6667,4.6667,13.3333,4.0,No
Uzbekistan,3,4,4,5,5,9,9,8,10,18,3.0,3.0,6.0,0.0,No
