match_number,date,stage,is_knockout,team,opponent,corners,goals_for,goals_against,goal_diff,outcome
1,11/06/2026,Group Stage,No,Mexico,South Africa,3,2,0,2,Win
1,11/06/2026,Group Stage,No,South Africa,Mexico,1,0,2,-2,Loss
2,12/06/2026,Group Stage,No,South Korea,Czech Republic,4,2,1,1,Win
2,12/06/2026,Group Stage,No,Czech Republic,South Korea,5,1,2,-1,Loss
3,12/06/2026,Group Stage,No,Canada,Bosnia and Herzegovina,9,1,1,0,Draw
3,12/06/2026,Group Stage,No,Bosnia and Herzegovina,Canada,4,1,1,0,Draw
4,13/06/2026,Group Stage,No,USA,Paraguay,3,4,1,3,Win
4,13/06/2026,Group Stage,No,Paraguay,USA,1,1,4,-3,Loss
5,13/06/2026,Group Stage,No,Qatar,Switzerland,3,1,1,0,Draw
5,13/06/2026,Group Stage,No,Switzerland,Qatar,10,1,1,0,Draw
6,13/06/2026,Group Stage,No,Brazil,Morocco,6,1,1,0,Draw
6,13/06/2026,Group Stage,No,Morocco,Brazil,2,1,1,0,Draw
7,14/06/2026,Group Stage,No,Haiti,Scotland,4,0,1,-1,Loss
7,14/06/2026,Group Stage,No,Scotland,Haiti,3,1,0,1,Win
8,14/06/2026,Group Stage,No,Australia,Turkey,5,2,0,2,Win
8,14/06/2026,Group Stage,No,Turkey,Australia,8,0,2,-2,Loss
9,14/06/2026,Group Stage,No,Germany,Curacao,8,7,1,6,Win
9,14/06/2026,Group Stage,No,Curacao,Germany,1,1,7,-6,Loss
10,14/06/2026,Group Stage,No,Netherlands,Japan,5,2,2,0,Draw
10,14/06/2026,Group Stage,No,Japan,Netherlands,4,2,2,0,Draw
11,15/06/2026,Group Stage,No,Ivory Coast,Ecuador,3,1,0,1,Win
11,15/06/2026,Group Stage,No,Ecuador,Ivory Coast,5,0,1,-1,Loss
12,15/06/2026,Group Stage,No,Sweden,Tunisia,4,5,1,4,Win
12,15/06/2026,Group Stage,No,Tunisia,Sweden,2,1,5,-4,Loss
13,15/06/2026,Group Stage,No,Spain,Cape Verde,11,0,0,0,Draw
13,15/06/2026,Group Stage,No,Cape Verde,Spain,1,0,0,0,Draw
14,15/06/2026,Group Stage,No,Belgium,Egypt,2,1,1,0,Draw
14,15/06/2026,Group Stage,No,Egypt,Belgium,7,1,1,0,Draw
15,15/06/2026,Group Stage,No,Saudi Arabia,Uruguay,4,1,1,0,Draw
15,15/06/2026,Group Stage,No,Uruguay,Saudi Arabia,14,1,1,0,Draw
16,16/06/2026,Group Stage,No,Iran,New Zealand,4,2,2,0,Draw
16,16/06/2026,Group Stage,No,New Zealand,Iran,1,2,2,0,Draw
17,16/06/2026,Group Stage,No,France,Senegal,6,3,1,2,Win
17,16/06/2026,Group Stage,No,Senegal,France,4,1,3,-2,Loss
18,16/06/2026,Group Stage,No,Iraq,Norway,2,1,4,-3,Loss
18,16/06/2026,Group Stage,No,Norway,Iraq,5,4,1,3,Win
19,17/06/2026,Group Stage,No,Argentina,Algeria,2,3,0,3,Win
19,17/06/2026,Group Stage,No,Algeria,Argentina,2,0,3,-3,Loss
20,17/06/2026,Group Stage,No,Austria,Jordan,4,3,1,2,Win
20,17/06/2026,Group Stage,No,Jordan,Austria,3,1,3,-2,Loss
21,17/06/2026,Group Stage,No,Portugal,D.R. Congo,5,1,1,0,Draw
21,17/06/2026,Group Stage,No,D.R. Congo,Portugal,4,1,1,0,Draw
22,17/06/2026,Group Stage,No,England,Croatia,8,4,2,2,Win
22,17/06/2026,Group Stage,No,Croatia,England,2,2,4,-2,Loss
23,18/06/2026,Group Stage,No,Ghana,Panama,2,1,0,1,Win
23,18/06/2026,Group Stage,No,Panama,Ghana,2,0,1,-1,Loss
24,18/06/2026,Group Stage,No,Uzbekistan,Colombia,3,1,3,-2,Loss
24,18/06/2026,Group Stage,No,Colombia,Uzbekistan,4,3,1,2,Win
25,18/06/2026,Group Stage,No,Czech Republic,South Africa,5,1,1,0,Draw
25,18/06/2026,Group Stage,No,South Africa,Czech Republic,5,1,1,0,Draw
26,18/06/2026,Group Stage,No,Switzerland,Bosnia and Herzegovina,7,4,1,3,Win
26,18/06/2026,Group Stage,No,Bosnia and Herzegovina,Switzerland,3,1,4,-3,Loss
27,18/06/2026,Group Stage,No,Canada,Qatar,19,6,0,6,Win
27,18/06/2026,Group Stage,No,Qatar,Canada,1,0,6,-6,Loss
28,19/06/2026,Group Stage,No,Mexico,South Korea,0,1,0,1,Win
28,19/06/2026,Group Stage,No,South Korea,Mexico,2,0,1,-1,Loss
29,19/06/2026,Group Stage,No,USA,Australia,7,2,0,2,Win
29,19/06/2026,Group Stage,No,Australia,USA,4,0,2,-2,Loss
30,19/06/2026,Group Stage,No,Scotland,Morocco,5,0,1,-1,Loss
